City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
147,Tevaitoa,PF,81.32,clear sky,-16.78,-151.5,Hôtel Raiatea Lodge
155,Avarua,CK,78.8,broken clouds,-21.21,-159.78,Paradise Inn
157,San Cristobal,VE,84.2,scattered clouds,7.77,-72.22,Pirineos
166,Itarema,BR,83.79,broken clouds,-2.92,-39.92,Windvillage
176,Nelson Bay,AU,78.01,heavy intensity rain,-32.72,152.15,Mantra Nelson Bay
179,Dingle,PH,75.7,overcast clouds,11.0,122.67,SEGAYA PROPERTY
192,Buchanan,LR,80.6,broken clouds,5.88,-10.05,Kamaneahn Hotel Inc
195,Hithadhoo,MV,81.79,broken clouds,-0.6,73.08,Scoop Guest House
197,Vila Velha,BR,80.6,broken clouds,-20.33,-40.29,Hotel Vitória Palace
198,Alofi,NU,77.0,light rain,-19.06,-169.92,Taloa Heights
199,Cayenne,GF,82.4,light rain,4.93,-52.33,Hôtel Le Dronmi
202,Pajapan,MX,84.2,scattered clouds,18.25,-94.7,Hotel Del Carmen
207,Richards Bay,ZA,78.55,overcast clouds,-28.78,32.04,BON Hotel Waterfront Richards Bay
212,Graneros,CL,82.4,clear sky,-34.07,-70.73,Campo Escuela Callejones Park
213,Howard Springs,AU,77.0,overcast clouds,-12.5,131.05,buffalo beach hostel
214,Malindi,KE,80.6,broken clouds,-3.22,40.12,African House Resort
215,Huejuquilla El Alto,MX,78.96,clear sky,22.6,-103.87,Hotel Huexuquillan
216,Angoche,MZ,79.47,few clouds,-16.23,39.91,Guest House HESADA
219,Marawi,PH,75.0,overcast clouds,8.0,124.29,Derogongan Residence
221,Payo,ID,72.05,overcast clouds,-3.75,103.64,Mess keban agung
227,Cidreira,BR,74.88,overcast clouds,-30.18,-50.21,Hotel Castelo
228,Manadhoo,MV,82.62,broken clouds,5.77,73.38,Vevu Guesthouse
231,Kavieng,PG,82.78,overcast clouds,-2.57,150.8,Nusa Island Retreat
